Project Code,Project Name,Country
E-ARG-2131,General Rodriguez,Argentina - ARG
E-GUY-4081,Golf Club Houses & Eco Hotel,Guyana - GUY
E-PER-1578,Hacienda La Joya,Peru - PER
E-EGY-2064,Il Monte Galala,Egypt - EGY
E-ISR-4123,Israel Ecipsa - MA,Israel - ISR
E-USA-4192,JV Angel Lagoon,United States - USA
E-IND-4021,Jamnagar,India - IND
E-USA-1850,Jungle Island Park Miami Beach,United States - USA
E-BOL-4046,KPA Lagoon,"Bolivia, Plurinational State of - BOL"
E-ECU-1559,Karibao Resort Town,Ecuador - ECU
E-MEX-4048,Kirah,Mexico - MEX
E-COL-4024,Kristal Blu,Colombia - COL
E-JPN-3773,Kunigami Sands,Japan - JPN
E-PER-1503,La Jolla de Asia,Peru - PER
E-ARG-3346,La Mansa Green City,Argentina - ARG
E-USA-1728,Lago Mar,United States - USA
E-ARG-1565,Lagoon Hudson,Argentina - ARG
E-ARG-1540,Lagoon Pilar,Argentina - ARG
E-CHL-1514,Laguna Ayres de Chicureo,Chile - CHL
E-CHL-1549,Laguna Bahía,Chile - CHL
E-CHL-1574,Laguna Centro,Chile - CHL
E-CHL-1524,Laguna Cóndores,Chile - CHL
E-URY-3163,Laguna Escondida - José Ignacio,Uruguay - URY
E-CHL-1525,Laguna Norte,Chile - CHL
E-PRY-3708,Laguna Urbana Asunción,Paraguay - PRY
E-CHL-1511,Laguna Vista,Chile - CHL
E-CHL-1868,Laguna de la Pirámide,Chile - CHL
E-CHL-1510,Laguna del Mar,Chile - CHL
E-CHL-1512,Laguna del Sol,Chile - CHL
E-CHL-1620,LagunaMar Las Cruces,Chile - CHL
E-USA-4029,Lakoona Beach,United States - USA
E-CHL-1504,Las Brisas de Santo Domingo,Chile - CHL
E-USA-3717,Leander Springs,United States - USA
E-DOM-3165,Los Corales Blue Resort,Dominican Republic - DOM
E-COL-4070,MA Caribe & Eje Cafetero Colombiano,Colombia - COL
E-ROU-4114,MA Eastern Europe Forty Management,Romania - ROU
E-GUY-4293,MA Guyana & Surinam,Guyana - GUY
E-IND-4188,MA India,India - IND
E-KOR-3727,MA Korea,"Korea, Republic of - KOR"
E-PAK-3835,MA Pakistan,Pakistan - PAK
E-PSE-4205,MA Palestine,Palestine - PSE
E-CRI-4244,MA Provincias Costa Rica,Costa Rica - CRI
E-SAU-4208,MA Saudi Arabia,Saudi Arabia - SAU
E-THA-1845,MahaSamutr Country Club & Luxury Villas,Thailand - THA
E-BOL-1563,Mar Adentro,"Bolivia, Plurinational State of - BOL"
E-CHL-1553,Marbella Club,Chile - CHL
E-MEX-2622,Mazatlán Bluú Habitat Lagoon,Mexico - MEX
E-USA-1888,Mirada,United States - USA
E-ARE-1561,Mohammed Bin Rashid Al Maktoum City - District One,United Arab Emirates - ARE
E-CRI-2043,Monte del Barco,Costa Rica - CRI
E-AUS-3616,Mooliabeenee,Australia - AUS
E-PSE-4066,Moon City Lagoon,Palestine - PSE
E-EGY-3536,Mountain View - Ras El Hikma,Egypt - EGY
E-EGY-2179,Mousa Coast,Egypt - EGY
E-ZAF-3575,Munyaka,South Africa - ZAF
E-EGY-3978,Naia Bay,Egypt - EGY
E-DOM-3310,Nao Towers,Dominican Republic - DOM
E-USA-4141,North Carolina RMA,United States - USA
E-VNM-4014,Novaworld Mui Ne - Marina City,Viet Nam - VNM
E-AGO-3715,Novo Luanda Leste,Angola - AGO
E-CRI-3929,Nya,Costa Rica - CRI
E-USA-3440,Oakstone,United States - USA
E-CHL-1509,Olas De San Pedro,Chile - CHL
E-TUR-2044,Olivion Belek Golf Resort,Turkey - TUR
E-TUR-2488,Onikisubat Belediyesi,Turkey - TUR
E-ARG-4137,Openn Pilar,Argentina - ARG
E-GTM-3661,PAL CENAM,Guatemala - GTM
E-KOR-3904,Paju,"Korea, Republic of - KOR"
E-CHL-1536,Papudo Laguna,Chile - CHL
E-PRY-3932,Parque San Bernardino,Paraguay - PRY
E-PAN-1501,Playa Blanca,Panama - PAN
E-BOL-1567,Playa Turquesa,"Bolivia, Plurinational State of - BOL"
E-BRA-1541,Ponta da Figueira,Brazil - BRA
E-KOR-3601,Project Stallion,"Korea, Republic of - KOR"
E-MEX-4103,Provincia Lakes,Mexico - MEX
E-CRI-3667,Puente Piedra,Costa Rica - CRI
E-JPN-4220,RMA Japan,Japan - JPN
E-AUS-4209,RMA Oceania & Cambodia,Australia - AUS
E-COL-1542,Rancho Grande,Colombia - COL
E-CRI-1582,Rancho Las Colinas,Costa Rica - CRI
E-ARG-1575,Remeros Beach,Argentina - ARG
E-MEX-3474,Residencial Kantal,Mexico - MEX
E-USA-3441,Ridgewood,United States - USA
E-CHL-1619,San Alfonso del Mar,Chile - CHL
E-PRY-3848,San Bernardino,Paraguay - PRY
E-ARG-3216,San Luis Lagoon,Argentina - ARG
E-ESP-2416,Santa Rosalía,Spain - ESP
E-USA-3438,Seaire,United States - USA
E-PER-1529,Shamrock Paracas Lagoon,Peru - PER
E-EGY-1502,Sharm El Sheikh Lagoon,Egypt - EGY
E-EGY-1625,Sia Lagoon,Egypt - EGY
E-USA-3399,Sierra Vista West,United States - USA
E-USA-1754,SoLé Mia,United States - USA
E-URY-1538,Solanas Crystal Beach,Uruguay - URY
E-KOR-4053,Songdo Lagoon,"Korea, Republic of - KOR"
E-USA-4166,South Carolina RMA,United States - USA
E-USA-1605,Southshore Bay,United States - USA
E-HUN-4079,Stalest - Budapest,Hungary - HUN
E-CZE-4078,Stalest - Prague,Czech Republic - CZE
E-POL-4080,Stalest - Warsaw,Poland - POL
E-EGY-2425,Stella di Mare Ain Sokhna - Phase II,Egypt - EGY
E-USA-0829,Sunterra,United States - USA
E-EGY-1822,Swan Lake El Gouna,Egypt - EGY
E-EGY-1624,Swan Lake North Coast,Egypt - EGY
E-USA-4139,TLSA 1 North Carolina RMA,United States - USA
E-USA-4140,TLSA 1 South Carolina RMA,United States - USA
E-USA-3975,TSV - Atlanta MSA,United States - USA
E-USA-3853,TSV- Atlanta,United States - USA
E-PER-3859,Tahiti Blue,Peru - PER
E-ARG-1532,Terralagos,Argentina - ARG
E-DOM-1622,The Beach at Punta Cana City Place,Dominican Republic - DOM
E-ZAF-3138,The Blyde,South Africa - ZAF
E-USA-3348,The Highlands of Spanish Fort,United States - USA
E-ARE-1938,Tilal Al Ghaf,United Arab Emirates - ARE
E-PRY-1555,Tosa,Paraguay - PRY
E-IDN-1515,Treasure Bay Bintan,Indonesia - IDN
E-PHL-4018,Urban Nest Clark Hills,Philippines - PHL
E-ARG-3872,Vida Lagoons,Argentina - ARG
E-VNM-3203,Vinhomes Ocean Park,Viet Nam - VNM
E-USA-3697,Westgate Glendale,United States - USA
E-USA-3136,Windsong Ranch,United States - USA
